City_ID,City_Name,City_CountryCode,City_IATACode,City_Latitude,City_Longitude,City_RadiusOverrideMI
6799,"Son-La, Vietnam",VN,SQH,21.3204360438,103.9110168457,6.0
7280,"Tamky, Vietnam",VN,TMK,15.5519178955,108.5047628027,14.0
7048,"Tuy Hoa, Vietnam",VN,TBB,13.0883122741,109.3012678516,12.0
7758,"Vinh City, Vietnam",VN,VII,18.6847149646,105.6741854077,7.0
232845,"Vung Tau, Tau Province, Vietnam",VN,SGN,10.4033386000,107.1230507000,7.0
1425,"Cape Town, South Africa",ZA,CPT,-33.9780169234,18.4934921738,12.0
232979,"Franschhoek, Western Cape, South Africa",ZA,CPT,-33.9079597555,19.1320982837,4.0
232978,"Knysna, Western Cape, South Africa",ZA,GRJ,-34.0362604266,23.0529307593,4.0
232989,"Pilanesberg, South Africa",ZA,JNB,-25.2488560995,27.1095215452,9.0
4281,"Livingstone, Zambia",ZM,LVI,-17.8591211255,25.8558676299,11.0
